Identified,特定された
□Idea behind opportunity identified,機会のアイデをが特定した
□At least one investing stakeholder interested,予算を出してくれる1人以上のステークホルダーが興味を持った
□Other stakeholders identified,他のステークホルダーを特定した
Solution Needed,ソリューションが必要になった
□Solution identified,ソリューションを特定した
□Stakeholders' needs established,ステークホルダーのニーズを確定した
□Problems and root causes identified,問題と根本原因を特定した
□Need for a solution confirmed,ソリューションのニーズを確認した
□At least one solution proposed,少なくとも1つのソリューションが提案された
Value Established,価値が確立された
□Opportunity value quantified,機会の価値が定量化された
□Solution impact understood,ソリューションのインパクトが理解された
□System value understood,システムの価値が理解された
□Success criteria clear,成功基準が明確になった
□Outcomes clear and quantified,アウトカムが明確になり定量化された
Viable,実行可能になった
□Solution outlined,ソリューションの概要が決まった
□Solution possible within constraints,制約を前提としたソリューションがある
□Risks acceptable & manageable,リスクが受容および管理可能である
□Solution profitable,ソリューションが利益につながる
□Reasons to develop solution understood,ソリューションの開発理由が理解された
□Pursuit viable,深堀りが実行可能である
Addressed,対応済みである
□Opportunity addressed,機会に対応した
□Solution worth deploying,ソリューションを展開する価値がある
□Stakeholders satisfied,ステークホルダーが満足した
Benefit Accrued,メリットが発生した
□Solution accrues benefits,ソリューションからメリットが生じる
□ROI acceptable,ROIが受け入れ可能である
